,Hours,Temp_ave
193,3.7832874999999997,34.25
194,3.8166194444444446,34.25
195,3.849951388888889,34.35
196,3.8832833333333334,34.4
197,3.916615277777778,34.5
198,3.9499472222222223,34.55
199,3.9832791666666667,34.6
200,4.016611111111111,34.75
201,4.049943055555556,34.7
202,4.083275,34.75
203,4.116606944444444,34.9
204,4.149938888888889,34.9
205,4.183270833333333,34.9
206,4.216602777777778,35.05
207,4.249934722222222,35.15
208,4.283266666666667,35.15
209,4.316598611111111,35.3
210,4.349930555555556,35.3
211,4.3832625,35.45
212,4.416594444444445,35.45
213,4.449926388888889,35.45
214,4.483258333333334,35.5
215,4.5165902777777776,35.6
216,4.549922222222222,35.6
217,4.583254166666666,35.7
218,4.616586111111111,35.75
219,4.649918055555556,35.75
220,4.68325,35.9
221,4.716581944444444,35.9
